Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,white_susp_rate
Lodestar: A Lighthouse Community Charter Public,2018-19,White,12,1,0.0833333333333333
Manzanita SEED Elementary,2018-19,White,43,0,0.0
"Martin Luther King, Jr. Elementary",2018-19,White,36,0,0.0
McClymonds High,2018-19,White,18,2,0.111111111111111
Melrose Leadership Academy,2018-19,White,95,0,0.0
Montclair Elementary,2018-19,White,280,2,0.00714285714285714
Montera Middle,2018-19,White,177,5,0.0282485875706215
"Nonpublic, Nonsectarian Schools",2018-19,White,38,0,0.0
North Oakland Community Charter,2018-19,White,35,0,0.0
Oakland High,2018-19,White,30,3,0.1
Oakland International High,2018-19,White,21,1,0.0476190476190476
"Oakland Military Institute, College Preparatory Academy",2018-19,White,20,2,0.1
Oakland School for the Arts,2018-19,White,264,4,0.0151515151515152
Oakland Technical High,2018-19,White,526,8,0.0152091254752852
Peralta Elementary,2018-19,White,177,0,0.0
Piedmont Avenue Elementary,2018-19,White,37,0,0.0
Redwood Heights Elementary,2018-19,White,147,0,0.0
Roosevelt Middle,2018-19,White,14,0,0.0
Sequoia Elementary,2018-19,White,131,0,0.0
Skyline High,2018-19,White,142,0,0.0
Thornhill Elementary,2018-19,White,194,2,0.0103092783505155
Vincent Academy,2018-19,White,24,0,0.0
West Oakland Middle,2018-19,White,16,0,0.0
Young Adult Program,2018-19,White,13,0,0.0
