Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,black_susp_rate
"Nonpublic, Nonsectarian Schools",2016-17,African American,107,0,0.0
North Oakland Community Charter,2016-17,African American,52,1,0.0192307692307692
Oakland Charter Academy,2016-17,African American,12,0,0.0
Oakland Charter High,2016-17,African American,22,3,0.136363636363636
Oakland High,2016-17,African American,532,45,0.0845864661654135
Oakland International High,2016-17,African American,20,1,0.05
"Oakland Military Institute, College Preparatory Academy",2016-17,African American,140,8,0.0571428571428571
Oakland School for the Arts,2016-17,African American,144,6,0.0416666666666667
Oakland Technical High,2016-17,African American,616,35,0.0568181818181818
Oakland Unity High,2016-17,African American,22,2,0.0909090909090909
Parker Elementary,2016-17,African American,282,15,0.0531914893617021
Peralta Elementary,2016-17,African American,53,0,0.0
Piedmont Avenue Elementary,2016-17,African American,208,5,0.0240384615384615
Ralph J. Bunche High,2016-17,African American,101,0,0.0
Reach Academy,2016-17,African American,199,14,0.0703517587939698
Redwood Heights Elementary,2016-17,African American,63,2,0.0317460317460317
Rise Community,2016-17,African American,88,5,0.0568181818181818
Roosevelt Middle,2016-17,African American,105,19,0.180952380952381
ROOTS International Academy,2016-17,African American,93,11,0.118279569892473
Roses in Concrete,2016-17,African American,127,9,0.0708661417322835
Rudsdale Continuation,2016-17,African American,99,0,0.0
Sankofa Academy,2016-17,African American,262,8,0.0305343511450382
Sequoia Elementary,2016-17,African American,102,4,0.0392156862745098
Skyline High,2016-17,African American,638,64,0.100313479623824
Street Academy (Alternative),2016-17,African American,80,0,0.0
Think College Now,2016-17,African American,47,7,0.148936170212766
Thornhill Elementary,2016-17,African American,46,1,0.0217391304347826
United for Success Academy,2016-17,African American,91,26,0.285714285714286
Urban Promise Academy,2016-17,African American,36,9,0.25
Vincent Academy,2016-17,African American,217,9,0.0414746543778802
West Oakland Middle,2016-17,African American,121,48,0.396694214876033
Westlake Middle,2016-17,African American,221,41,0.18552036199095
Young Adult Program,2016-17,African American,69,0,0.0
Achieve Academy,2017-18,African American,20,3,0.15
ACORN Woodland Elementary,2017-18,African American,25,0,0.0
Allendale Elementary,2017-18,African American,117,2,0.0170940170940171
Alliance Academy,2017-18,African American,72,9,0.125
